contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
Yes,,,0.0,,0.0,22000,"428 E Franklin Street, Portage, WI",53901,https://www.homesnap.com/WI/Portage/428-E-Franklin-Street,100060599,43.54657,-89.455352,,428 E Franklin Street,"Portage, WI",2021-01-26,22000,8,32
Yes,,4.0,2.5,2450.0,0.0,229900,"1032 Race Street, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/1032-Race-Street,100346172,43.631098,-89.762962,,1032 Race Street,"Wisconsin Dells, WI",2021-01-26,229900,1,1
No,3.0,,0.0,2400.0,0.0,229900,"138 3rd Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/138-3rd-Street,100032193,43.469613,-89.741236,1900.0,138 3rd Street,"Baraboo, WI",2021-01-26,229900,8,128
Yes,,,0.0,,0.0,69900,"Outlot 1 Lakeview Drive, Lodi, WI",53555,https://www.homesnap.com/WI/Lodi/Outlot-1-Lakeview-Drive,100030322,43.376036,-89.548074,,Outlot 1 Lakeview Drive,"Lodi, WI",2021-01-26,69900,8,32
Yes,,,0.0,,0.0,119900,"L11 Dupless Road, Caledonia, WI",53901,https://www.homesnap.com/WI/Caledonia/L11-Dupless-Road,100232360,43.487204,-89.456075,,L11 Dupless Road,"Caledonia, WI",2021-01-26,119900,8,32
Yes,,,0.0,,0.0,99900,"L12 Dupless Road, Caledonia, WI",53901,https://www.homesnap.com/WI/Caledonia/L12-Dupless-Road,100259044,43.487204,-89.456075,,L12 Dupless Road,"Caledonia, WI",2021-01-26,99900,8,32
No,,2.0,2.0,1280.0,0.0,184000,"1093 Canyon Road #108, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/1093-Canyon-Road/property/6591944,99850825,43.598442,-89.773104,1990.0,1093 Canyon Road #108,"Wisconsin Dells, WI",2021-01-25,189000,4,4
No,,4.0,1.5,2006.0,0.0,182500,"216 Mill Street, Lodi, WI",53555,https://www.homesnap.com/WI/Lodi/216-Mill-Street,100302629,43.312206,-89.528092,,216 Mill Street,"Lodi, WI",2021-01-25,182500,1,1
Yes,,3.0,2.0,1360.0,0.0,219900,"203 Faith Drive, Columbus, WI",53925,https://www.homesnap.com/WI/Columbus/203-Faith-Drive,99864100,43.329968,-89.028029,1974.0,203 Faith Drive,"Columbus, WI",2021-01-25,219900,1,1
Yes,,3.0,2.0,1680.0,0.0,309900,"N1793 Ryan Road, Lodi, WI",53555,https://www.homesnap.com/WI/Lodi/N1793-Ryan-Road,99844499,43.340124,-89.558098,1979.0,N1793 Ryan Road,"Lodi, WI",2021-01-25,309900,1,1
No,10.0,,0.0,5760.0,0.0,469900,"717 South Boulevard, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/717-South-Boulevard,100343624,43.459707,-89.7546,1970.0,717 South Boulevard,"Baraboo, WI",2021-01-25,469900,8,128
Yes,,3.0,2.0,1340.0,0.0,209900,"309 10th Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/309-10th-Street,100041717,43.476875,-89.738413,1921.0,309 10th Street,"Baraboo, WI",2021-01-24,209900,1,1
Yes,,2.0,2.0,1248.0,0.0,225000,"103 Bowman Road #736, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/103-Bowman-Road/property/600032491875,99855426,43.614589,-89.77186,2004.0,103 Bowman Road #736,"Wisconsin Dells, WI",2021-01-23,225000,4,4
Yes,2.0,4.0,2.0,2200.0,900.0,279000,"1184 Canyon Road, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/1184-Canyon-Road,99864698,43.598411,-89.770774,1996.0,1184 Canyon Road,"Wisconsin Dells, WI",2021-01-23,279000,1,16
Yes,,2.0,1.0,1008.0,0.0,199900,"340 7th Street, Prairie Du Sac, WI",53578,https://www.homesnap.com/WI/Prairie-Du-Sac/340-7th-Street,99778100,43.288202,-89.726636,1956.0,340 7th Street,"Prairie Du Sac, WI",2021-01-22,199900,1,1
No,,3.0,2.5,2318.0,0.0,382900,"W9325 County Road V, Poynette, WI",53955,https://www.homesnap.com/WI/Poynette/W9325-County-Road-V,99758340,43.458495,-89.463899,2000.0,W9325 County Road V,"Poynette, WI",2021-01-22,382900,1,1
Yes,,3.0,1.5,1948.0,0.0,289900,"785 Center Street, Prairie Du Sac, WI",53578,https://www.homesnap.com/WI/Prairie-Du-Sac/785-Center-Street,99671059,43.286957,-89.72818,1970.0,785 Center Street,"Prairie Du Sac, WI",2021-01-21,289900,1,1
No,,3.0,2.0,2212.0,0.0,419000,"650 E Hiawatha Drive #309, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/650-E-Hiawatha-Drive/property/17887386,99685065,43.599868,-89.782725,2006.0,650 E Hiawatha Drive #309,"Wisconsin Dells, WI",2021-01-21,419000,4,4
No,,2.0,2.0,1152.0,0.0,105000,"33B Grand Canyon Drive #211, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/33B-Grand-Canyon-Drive/property/13693105,99780975,43.583513,-89.766491,2001.0,33B Grand Canyon Drive #211,"Baraboo, WI",2021-01-21,105000,4,4
Yes,,3.0,2.0,2064.0,0.0,299900,"443 3rd Street, Prairie Du Sac, WI",53578,https://www.homesnap.com/WI/Prairie-Du-Sac/443-3rd-Street,99650702,43.290135,-89.72327,,443 3rd Street,"Prairie Du Sac, WI",2021-01-20,299900,1,1
Yes,,3.0,1.0,1170.0,0.0,143900,"615 E Cook Street, Portage, WI",53901,https://www.homesnap.com/WI/Portage/615-E-Cook-Street,99653320,43.543888,-89.451348,1946.0,615 E Cook Street,"Portage, WI",2021-01-20,143900,1,1
Yes,2.0,6.0,2.0,2260.0,1875.0,265000,"423 South Street, Poynette, WI",53955,https://www.homesnap.com/WI/Poynette/423-South-Street,99637536,43.380552,-89.407743,1975.0,423 South Street,"Poynette, WI",2021-01-20,265000,1,16
No,2.0,,0.0,1440.0,0.0,85000,"105 W Cook Street, Portage, WI",53901,https://www.homesnap.com/WI/Portage/105-W-Cook-Street,99737792,43.539961,-89.460009,1893.0,105 W Cook Street,"Portage, WI",2021-01-19,85000,8,128
No,,,0.0,,0.0,99900,"2.60 Acres Columbus Road, Columbus, WI",53925,https://www.homesnap.com/WI/Columbus/260-Acres-Columbus-Road,99692266,43.283653,-89.039092,,2.60 Acres Columbus Road,"Columbus, WI",2021-01-18,99900,8,32
Yes,,3.0,2.0,1450.0,0.0,134900,"616 W Wisconsin Street, Portage, WI",53901,https://www.homesnap.com/WI/Portage/616-W-Wisconsin-Street,99695755,43.541448,-89.46831,1930.0,616 W Wisconsin Street,"Portage, WI",2021-01-17,134900,1,1
Yes,,2.0,1.0,784.0,0.0,149900,"803 W Franklin Street, Portage, WI",53901,https://www.homesnap.com/WI/Portage/803-W-Franklin-Street,99489817,43.543047,-89.4772,1870.0,803 W Franklin Street,"Portage, WI",2021-01-16,149900,1,1
Yes,,,0.0,,0.0,369945,"W9673 County Road X, Portage, WI",53901,https://www.homesnap.com/WI/Portage/W9673-County-Road-X,99594081,43.590254,-89.48281,,W9673 County Road X,"Portage, WI",2021-01-16,369945,8,32
No,,,0.0,,0.0,145900,"5 Acres Boelte Road, Columbus, WI",53925,https://www.homesnap.com/WI/Columbus/5-Acres-Boelte-Road,99613024,43.346583,-89.088998,,5 Acres Boelte Road,"Columbus, WI",2021-01-15,145900,8,32
Yes,,3.0,1.5,2200.0,0.0,250000,"714 Cass Street, Portage, WI",53901,https://www.homesnap.com/WI/Portage/714-Cass-Street,99435832,43.543551,-89.46971,1894.0,714 Cass Street,"Portage, WI",2021-01-14,250000,1,1
No,,2.0,1.5,1428.0,0.0,359000,"N4313 County Road V, Poynette, WI",53955,https://www.homesnap.com/WI/Poynette/N4313-County-Road-V,99432270,43.433407,-89.496689,1948.0,N4313 County Road V,"Poynette, WI",2021-01-14,359000,1,1
Yes,,2.0,2.5,1771.0,0.0,149900,"192 Lienke Road #18, Fall River, WI",53932,https://www.homesnap.com/WI/Fall-River/192-Lienke-Road,99395609,43.392974,-89.033284,2009.0,192 Lienke Road #18,"Fall River, WI",2021-01-14,149900,4,4
