address,zip,units,list_price,rent,rent_estimate_beds,rent_estimate_sqft,beds,sqft,year_built,baths,mortgage,dp+close,1yr CF,1yr growth,3yr growth,5yr growth,unemploy %,family %,college %,poverty %,vacancy,med_age,price_to_rent,price_to_rent_est_sqft,price_to_rent_est_beds
"1305 Black Stallion Drive, Madison, WI",53718,1,429900,NA,2437.666667,3035.392977,4,2938,2018,3,26724,19046,-38842,,,,3.7,81.6,4.9,8.7,6.2,42.3,inf,11.80242567,14.69643101
"6015 Aries Way, Madison, WI",53718,1,359900,NA,2662.222222,2288.158993,4,2202,2018,2.5,22373,16596,-32811,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,13.10733509,11.26565109
"408 Milky Way, Madison, WI",53718,1,334900,NA,1996.666667,1997.203263,3,1922,2018,2.5,20819,15722,-30657,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,13.97370706,13.97746244
"444 Venus Way, Madison, WI",53718,1,389900,NA,2662.222222,2288.158993,4,2202,2019,2.5,24238,17646,-35396,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,14.19991651,12.20471619
"331 Galileo Drive, Madison, WI",53718,1,409900,NA,2662.222222,2489.749749,4,2396,2019,2.5,25481,18346,-37119,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,13.71958501,12.8307596
"7108 Field Flower Way, Madison, WI",53718,1,364900,NA,2662.222222,2132.289852,4,2052,2018,2.5,22684,16772,-33242,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,14.2608817,11.42216194
"1843 Autumn Lake Parkway, Madison, WI",53718,1,294900,NA,1820,1765.433466,3,1628,2019,2.5,18332,14322,-27210,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,13.92009412,13.50274725
"5816 Levitan Lane, Madison, WI",53718,1,409900,NA,1820,1996.414625,3,1841,2019,2,25481,18346,-37119,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,17.10983926,18.76831502
"6113 Driscoll Drive, Madison, WI",53718,1,288900,NA,1982.083333,1727.360076,3,1648,2019,2.5,17959,14112,-26693,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,13.93745308,12.1463107
"241 Alton Drive, Madison, WI",53718,1,364900,NA,2662.222222,2676.792718,4,2576,2016,3,22684,16772,-33242,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,11.35998807,11.42216194
